group	y	x	density	scaled	count	ymax
7	1.51551028477127e-16	-1.31754514517753	1.51551028477127e-16	6.82955172193933e-17	1.51551028477127e-13	1.51551028477127e-16
7	1.61438523199316e-16	-1.3122583517843	1.61438523199316e-16	7.27512544904726e-17	1.61438523199316e-13	1.61438523199316e-16
7	1.08293948956134e-16	-1.30697155839107	1.08293948956134e-16	4.88019865652445e-17	1.08293948956134e-13	1.08293948956134e-16
7	1.89044792034512e-17	-1.30168476499784	1.89044792034512e-17	8.51918458051127e-18	1.89044792034512e-14	1.89044792034512e-17
7	3.5700632878385e-17	-1.2963979716046	3.5700632878385e-17	1.60882655300288e-17	3.5700632878385e-14	3.5700632878385e-17
7	1.39549989666918e-16	-1.29111117821137	1.39549989666918e-16	6.28873246063227e-17	1.39549989666918e-13	1.39549989666918e-16
7	1.97064990625177e-16	-1.28582438481814	1.97064990625177e-16	8.88060978260706e-17	1.97064990625177e-13	1.97064990625177e-16
7	2.23161074205069e-17	-1.28053759142491	2.23161074205069e-17	1.00566133659534e-17	2.23161074205069e-14	2.23161074205069e-17
7	4.55666042111339e-17	-1.27525079803167	4.55666042111339e-17	2.0534303421111e-17	4.55666042111339e-14	4.55666042111339e-17
7	4.30826390633811e-17	-1.26996400463844	4.30826390633811e-17	1.94149201597409e-17	4.30826390633811e-14	4.30826390633811e-17
7	7.03838988419606e-17	-1.26467721124521	7.03838988419606e-17	3.17180610625459e-17	7.03838988419606e-14	7.03838988419606e-17
7	3.41400043404517e-17	-1.25939041785198	3.41400043404517e-17	1.53849781009924e-17	3.41400043404517e-14	3.41400043404517e-17
7	2.37722182692365e-17	-1.25410362445875	2.37722182692365e-17	1.07128005561167e-17	2.37722182692365e-14	2.37722182692365e-17
7	6.47612702499671e-17	-1.24881683106551	6.47612702499671e-17	2.91842588727396e-17	6.47612702499671e-14	6.47612702499671e-17
7	9.22059272103468e-17	-1.24353003767228	9.22059272103468e-17	4.1552020813074e-17	9.22059272103468e-14	9.22059272103468e-17
7	9.97494028520402e-17	-1.23824324427905	9.97494028520402e-17	4.49514406372628e-17	9.97494028520402e-14	9.97494028520402e-17
7	1.2311393721824e-16	-1.23295645088582	1.2311393721824e-16	5.5480521008174e-17	1.2311393721824e-13	1.2311393721824e-16
7	2.47934568078719e-16	-1.22766965749258	2.47934568078719e-16	1.11730152765401e-16	2.47934568078719e-13	2.47934568078719e-16
7	1.45288414901903e-16	-1.22238286409935	1.45288414901903e-16	6.54733098245443e-17	1.45288414901903e-13	1.45288414901903e-16
7	1.42738761292324e-16	-1.21709607070612	1.42738761292324e-16	6.43243244712527e-17	1.42738761292324e-13	1.42738761292324e-16
7	1.26708667189412e-16	-1.21180927731289	1.26708667189412e-16	5.71004634467847e-17	1.26708667189412e-13	1.26708667189412e-16
7	1.05798704854593e-16	-1.20652248391965	1.05798704854593e-16	4.76775205143319e-17	1.05798704854593e-13	1.05798704854593e-16
7	8.70756102255208e-17	-1.20123569052642	8.70756102255208e-17	3.9240075750748e-17	8.70756102255208e-14	8.70756102255208e-17
7	9.49369067515508e-17	-1.19594889713319	9.49369067515508e-17	4.27827195563047e-17	9.49369067515508e-14	9.49369067515508e-17
7	9.74520157055535e-17	-1.19066210373996	9.74520157055535e-17	4.39161375779624e-17	9.74520157055535e-14	9.74520157055535e-17
7	2.27047180406555e-17	-1.18537531034672	2.27047180406555e-17	1.02317382962603e-17	2.27047180406555e-14	2.27047180406555e-17
7	0	-1.18008851695349	0	0	0	0
7	0	-1.17480172356026	0	0	0	0
7	8.55122970100068e-17	-1.16951493016703	8.55122970100068e-17	3.85355784886555e-17	8.55122970100068e-14	8.55122970100068e-17
7	2.14022906970608e-17	-1.1642281367738	2.14022906970608e-17	9.64480761050183e-18	2.14022906970608e-14	2.14022906970608e-17
7	0	-1.15894134338056	0	0	0	0
7	5.21876437205578e-17	-1.15365454998733	5.21876437205578e-17	2.3518033207507e-17	5.21876437205578e-14	5.21876437205578e-17
7	8.02559054363924e-17	-1.1483677565941	8.02559054363924e-17	3.61668187063236e-17	8.02559054363924e-14	8.02559054363924e-17
7	6.93889390390723e-17	-1.14308096320087	6.93889390390723e-17	3.12696886890056e-17	6.93889390390723e-14	6.93889390390723e-17
7	8.09140213372752e-17	-1.13779416980763	8.09140213372752e-17	3.6463394495302e-17	8.09140213372752e-14	8.09140213372752e-17
