x	y	label	showSelected1	group
0.3	4	p_val=0.2280	5	-1
0.3	4	p_val=0.2371	10	-1
0.3	4	p_val=0.0473	15	-1
0.3	4	p_val=0.2484	20	-1
0.3	4	p_val=0.3210	25	-1
0.3	4	p_val=0.1085	30	-1
0.3	4	p_val=0.2335	35	-1
0.3	4	p_val=0.7541	40	-1
0.3	4	p_val=0.4403	45	-1
0.3	4	p_val=0.2865	50	-1
0.3	4	p_val=0.4034	55	-1
0.3	4	p_val=0.3408	60	-1
0.3	4	p_val=0.7305	65	-1
0.3	4	p_val=0.7638	70	-1
0.3	4	p_val=0.0531	75	-1
0.3	4	p_val=0.7467	80	-1
0.3	4	p_val=0.8935	85	-1
0.3	4	p_val=0.5024	90	-1
0.3	4	p_val=0.1014	95	-1
0.3	4	p_val=0.3452	100	-1
0.3	4	p_val=0.7724	105	-1
0.3	4	p_val=0.8672	110	-1
0.3	4	p_val=0.7675	115	-1
0.3	4	p_val=0.7117	120	-1
0.3	4	p_val=0.8872	125	-1
0.3	4	p_val=0.0193	130	-1
0.3	4	p_val=0.1821	135	-1
0.3	4	p_val=0.9259	140	-1
0.3	4	p_val=0.0677	145	-1
0.3	4	p_val=0.3665	150	-1
