x	y	label	group
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
180	0.02	p < 0.05	-1
