x	y	label	showSelected1	group
1.7	4	p_val<0.0001	5	-1
1.7	4	p_val<0.0001	10	-1
1.7	4	p_val<0.0001	15	-1
1.7	4	p_val<0.0001	20	-1
1.7	4	p_val<0.0001	25	-1
1.7	4	p_val<0.0001	30	-1
1.7	4	p_val<0.0001	35	-1
1.7	4	p_val<0.0001	40	-1
1.7	4	p_val=0.0130	45	-1
1.7	4	p_val<0.0001	50	-1
1.7	4	p_val=0.0002	55	-1
1.7	4	p_val=0.0055	60	-1
1.7	4	p_val=0.0014	65	-1
1.7	4	p_val=0.0002	70	-1
1.7	4	p_val=0.0050	75	-1
1.7	4	p_val=0.0004	80	-1
1.7	4	p_val<0.0001	85	-1
1.7	4	p_val=0.0003	90	-1
1.7	4	p_val=0.7815	95	-1
1.7	4	p_val<0.0001	100	-1
1.7	4	p_val=0.0234	105	-1
1.7	4	p_val=0.1982	110	-1
1.7	4	p_val=0.0960	115	-1
1.7	4	p_val=0.6283	120	-1
1.7	4	p_val=0.4365	125	-1
1.7	4	p_val=0.2228	130	-1
1.7	4	p_val=0.8056	135	-1
1.7	4	p_val=0.5105	140	-1
1.7	4	p_val=0.1937	145	-1
1.7	4	p_val=0.0006	150	-1
