colour	group	showSelectedlegendcolour
#FF0000	1	Normal Approx.
#FF0000	2	Normal Approx.
#FF0000	3	Normal Approx.
#FF0000	4	Normal Approx.
#FF0000	5	Normal Approx.
#FF0000	6	Normal Approx.
#FF0000	7	Normal Approx.
#FF0000	8	Normal Approx.
#FF0000	9	Normal Approx.
#FF0000	10	Normal Approx.
#FF0000	11	Normal Approx.
#FF0000	12	Normal Approx.
#FF0000	13	Normal Approx.
#FF0000	14	Normal Approx.
#FF0000	15	Normal Approx.
#FF0000	16	Normal Approx.
#FF0000	17	Normal Approx.
#FF0000	18	Normal Approx.
#FF0000	19	Normal Approx.
#FF0000	20	Normal Approx.
#FF0000	21	Normal Approx.
#FF0000	22	Normal Approx.
#FF0000	23	Normal Approx.
#FF0000	24	Normal Approx.
#FF0000	25	Normal Approx.
#FF0000	26	Normal Approx.
#FF0000	27	Normal Approx.
#FF0000	28	Normal Approx.
#FF0000	29	Normal Approx.
#FF0000	30	Normal Approx.
