x	y	group
5	-15.5559487164688	-1
10	-8.34304080375853	-1
15	-6.22926508358107	-1
20	-5.13580172061749	-1
25	-5.17483442776025	-1
30	-4.29503192561577	-1
35	-6.18511128247093	-1
40	-8.45346998422233	-1
45	-1.88526131002265	-1
50	-5.1239583510235	-1
55	-3.77266243570113	-1
60	-2.26105047771396	-1
65	-2.84969260153159	-1
70	-3.63102031023041	-1
75	-2.30496791202794	-1
80	-3.35158920088004	-1
85	-5.85492129219724	-1
90	-3.49427247552702	-1
95	-0.107062167541962	-1
100	-5.93757917434666	-1
105	-1.63013582466456	-1
110	-0.702992614708661	-1
115	-1.01788177605586	-1
120	-0.201838350147217	-1
125	-0.359983483786827	-1
130	-0.652122595844055	-1
135	-0.0938741174964446	-1
140	-0.291968808039126	-1
145	-0.712802582376951	-1
150	-3.23291510137122	-1
