x	y	clickSelects
5	-15.5559487164688	5
10	-8.34304080375853	10
15	-6.22926508358107	15
20	-5.13580172061749	20
25	-5.17483442776025	25
30	-4.29503192561577	30
35	-6.18511128247093	35
40	-8.45346998422233	40
45	-1.88526131002265	45
50	-5.1239583510235	50
55	-3.77266243570113	55
60	-2.26105047771396	60
65	-2.84969260153159	65
70	-3.63102031023041	70
75	-2.30496791202794	75
80	-3.35158920088004	80
85	-5.85492129219724	85
90	-3.49427247552702	90
95	-0.107062167541962	95
100	-5.93757917434666	100
105	-1.63013582466456	105
110	-0.702992614708661	110
115	-1.01788177605586	115
120	-0.201838350147217	120
125	-0.359983483786827	125
130	-0.652122595844055	130
135	-0.0938741174964446	135
140	-0.291968808039126	140
145	-0.712802582376951	145
150	-3.23291510137122	150
