x	xmin	xmax	y	clickSelects	group
5	2.5	7.5	-15.5559487164688	5	-1
10	7.5	12.5	-8.34304080375853	10	-1
15	12.5	17.5	-6.22926508358107	15	-1
20	17.5	22.5	-5.13580172061749	20	-1
25	22.5	27.5	-5.17483442776025	25	-1
30	27.5	32.5	-4.29503192561577	30	-1
35	32.5	37.5	-6.18511128247093	35	-1
40	37.5	42.5	-8.45346998422233	40	-1
45	42.5	47.5	-1.88526131002265	45	-1
50	47.5	52.5	-5.1239583510235	50	-1
55	52.5	57.5	-3.77266243570113	55	-1
60	57.5	62.5	-2.26105047771396	60	-1
65	62.5	67.5	-2.84969260153159	65	-1
70	67.5	72.5	-3.63102031023041	70	-1
75	72.5	77.5	-2.30496791202794	75	-1
80	77.5	82.5	-3.35158920088004	80	-1
85	82.5	87.5	-5.85492129219724	85	-1
90	87.5	92.5	-3.49427247552702	90	-1
95	92.5	97.5	-0.107062167541962	95	-1
100	97.5	102.5	-5.93757917434666	100	-1
105	102.5	107.5	-1.63013582466456	105	-1
110	107.5	112.5	-0.702992614708661	110	-1
115	112.5	117.5	-1.01788177605586	115	-1
120	117.5	122.5	-0.201838350147217	120	-1
125	122.5	127.5	-0.359983483786827	125	-1
130	127.5	132.5	-0.652122595844055	130	-1
135	132.5	137.5	-0.0938741174964446	135	-1
140	137.5	142.5	-0.291968808039126	140	-1
145	142.5	147.5	-0.712802582376951	145	-1
150	147.5	152.5	-3.23291510137122	150	-1
